id,city_id,name,pob_total,pob_mas,pob_fem
547,Ixtlahuacan,Joel Moreno,3,*,*
548,Ixtlahuacan,Rancho Quintero (Los Corrales),1,*,*
549,Ixtlahuacan,San Marcos (Marcos Perez),10,*,*
550,Ixtlahuacan,Rancho Margarita,3,*,*
551,Ixtlahuacan,Rancho Nuevo,5,*,*
552,Ixtlahuacan,La Cascalotera (Los Rincones),5,*,*
553,Ixtlahuacan,El Cuastecomate,3,*,*
554,Ixtlahuacan,Rafael Cortes,1,*,*
555,Ixtlahuacan,Rafaela Torres,1,*,*
556,Ixtlahuacan,Rancho de Gonzalez,3,*,*
557,Ixtlahuacan,Rancho de Olivera (La Pena),4,*,*
558,Ixtlahuacan,Los Chivos,6,*,*
559,Ixtlahuacan,El Galaje [Empacadora],6,*,*
560,Ixtlahuacan,Guadalupe Quinto Mariano,5,*,*
561,Ixtlahuacan,El Novillero,5,*,*
562,Ixtlahuacan,Octavio Parra Arias,4,*,*
563,Ixtlahuacan,La Toma [Granja Acuicola],2,*,*
564,Ixtlahuacan,Llanos de San Gabriel,34,18,16
565,Ixtlahuacan,La Pedregosa (Rucha),4,*,*
566,Ixtlahuacan,Las Parotas,5,*,*
567,Ixtlahuacan,Los Sabinos,1,*,*
568,Ixtlahuacan,El Plan del Zapote,77,39,38
572,Manzanillo,Manzanillo,130035,64781,65254
573,Manzanillo,El Aguacatillo,13,7,6
574,Manzanillo,Los Almarcigos,7,5,2
575,Manzanillo,Camichin,38,15,23
576,Manzanillo,Camotlan de Miraflores,1778,893,885
577,Manzanillo,Canoas,363,194,169
578,Manzanillo,Las Canoitas,11,*,*
579,Manzanillo,Los Cedros,567,285,282
580,Manzanillo,El Centinela de Arriba,8,5,3
581,Manzanillo,El Centinela de Abajo,86,47,39
582,Manzanillo,La Central,1317,674,643
583,Manzanillo,El Colomo,10255,5141,5114
584,Manzanillo,Las Compuertas,2,*,*
585,Manzanillo,La Culebra (Colimilla),229,124,105
586,Manzanillo,Chandiablo,501,272,229
587,Manzanillo,El Charco,260,129,131
588,Manzanillo,El Chavarin,874,458,416
589,Manzanillo,Don Tomas,79,42,37
590,Manzanillo,Emiliano Zapata,351,186,165
591,Manzanillo,El Encino,3,*,*
592,Manzanillo,El Huizcolote,305,160,145
593,Manzanillo,Huiscolotila,62,27,35
594,Manzanillo,Jalipa,2186,1097,1089
595,Manzanillo,Las Juntas de Arriba (Antiguas Juntas),16,9,7
596,Manzanillo,Las Juntas (La Florena),884,462,422
597,Manzanillo,Puertecito de Lajas,354,177,177
598,Manzanillo,Aserradero de la Lima,113,61,52
599,Manzanillo,Manuel avila Camacho,135,74,61
600,Manzanillo,El Naranjo,1480,742,738
601,Manzanillo,Nuevo el Petatero,113,55,58
602,Manzanillo,La Palma,3,*,*
603,Manzanillo,Los Parajes,71,32,39
604,Manzanillo,Punta de Agua de Camotlan,293,147,146
605,Manzanillo,Rio Marabasco,566,298,268
606,Manzanillo,La Rosa de San Jose de Lumber,35,15,20
607,Manzanillo,San Buenaventura,634,318,316
608,Manzanillo,Santa Rita,609,301,308
609,Manzanillo,Veladero de Camotlan,244,119,125
610,Manzanillo,Veladero de los Otates,255,134,121
611,Manzanillo,Venustiano Carranza (Cualata),1503,762,741
612,Manzanillo,El Vidrio,2,*,*
613,Manzanillo,La Viga,8,4,4
614,Manzanillo,Ojo de Agua,5,*,*
615,Manzanillo,La Piedrera (La Bascula),8,6,2
616,Manzanillo,Playa de Oro,2,*,*
617,Manzanillo,Ciruelito de la Marina,105,56,49
618,Manzanillo,El Coyul,3,*,*
619,Manzanillo,Francisco Villa,984,489,495
620,Manzanillo,Nuevo Cuyutlan,893,463,430
